male,title_Mr,title_Mrs,title_crew,title_highso,pclass_2,pclass_3,cabin_B,cabin_C,cabin_D,cabin_E,cabin_F,cabin_G,cabin_T,cabin_U,embarked_Q,embarked_S,Family_Single,Family_Small,Family_Large,Age,Fare,Cabin,FamilySize,Ticket,Survived
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.2734560942001754,0.1,0.0,0.2857142857142857,0.014151057562208049,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4738819992484029,0.1,0.25,0.2857142857142857,0.13913573538264068,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.32356257046223225,0.0,0.0,0.8571428571428571,0.015468569817999833,1.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.43630214205186024,0.1,0.25,0.0,0.10364429745562033,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.43630214205186024,0.0,0.0,0.0,0.015712553569072387,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.01650950209357577,0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.6743079042966303,0.0,0.25,0.0,0.10122885832000206,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.02292371288989102,0.4,0.0,0.0,0.04113566043083236,0.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.33608918952774647,0.20000000000000004,0.0,0.0,0.021730754366528396,1.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.17324314167606164,0.1,0.0,0.0,0.058694292654020104,1.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.04797695102091946,0.20000000000000004,0.25,0.2857142857142857,0.03259622914329302,1.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.7244143805586872,0.0,0.25,0.0,0.051822148727810165,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.24840285606914697,0.0,0.0,0.2857142857142857,0.015712553569072387,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.48640861831391713,0.6000000000000001,0.0,0.0,0.06104473451835265,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.17324314167606164,0.0,0.0,0.0,0.015330377421392339,0.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.6868345233621446,0.0,0.0,0.0,0.03122992013728673,1.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.02292371288989102,0.5000000000000001,0.0,0.0,0.05684821399990475,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.025374310111545468,1.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.38619566578980336,0.1,0.0,0.0,0.03513366015444757,0.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.014102260811993537,1.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.43630214205186024,0.0,0.0,0.0,0.050748620223090936,0.0
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.423775522986346,0.0,0.25,0.0,0.025374310111545468,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.18576976074157586,0.0,0.0,0.0,0.015671954672893913,1.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.3486158085932607,0.0,0.25,0.0,0.06929138530460494,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.09808342728297632,0.4,0.0,0.0,0.04113566043083236,0.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.4738819992484029,0.6000000000000001,0.0,0.0,0.06126431989431795,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.014102260811993537,0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.23587623700363275,0.5000000000000001,0.75,0.0,0.5133418122566507,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.01537917417160685,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015411575213749286,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.49893523737943135,0.0,0.0,0.2857142857142857,0.05410739813385612,0.0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.3721801035613681,0.1,0.25,0.2857142857142857,0.2859895551532101,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015126992566498259,1.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.824627333082801,0.0,0.0,0.2857142857142857,0.020494635090094415,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3486158085932607,0.1,0.0,0.2857142857142857,0.16038672010106003,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.5239884755104598,0.1,0.0,0.0,0.10149724044618187,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.014110458666029575,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2609294751346612,0.0,0.0,0.2857142857142857,0.015712553569072387,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.22334961793811853,0.20000000000000004,0.0,0.0,0.03513366015444757,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.17324314167606164,0.1,0.0,0.0,0.021942337075458514,1.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.49893523737943135,0.1,0.0,0.0,0.018493968331299484,0.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.33608918952774647,0.1,0.0,0.0,0.04098927018018883,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015411575213749286,0.0
