"","Pclass.2","Pclass.3","Sex.male","Embarked.Q","Embarked.S","family.small","family.solo","title.Master","title.Miss","title.Mr","title.Mrs","Age","Cabin.1","Cabin.2","Cabin.3","Cabin.4","ticket_group.small","ticket_group.solo","Fare","Survived"
"1",0,1,1,0,1,1,0,0,0,1,0,22,0,0,0,0,0,1,7.25,0
"2",0,0,0,0,0,1,0,0,0,0,1,38,1,0,0,0,1,0,71.2833,1
"3",0,1,0,0,1,0,1,0,1,0,0,26,0,0,0,0,0,1,7.925,1
"4",0,0,0,0,1,1,0,0,0,0,1,35,1,0,0,0,1,0,53.1,1
"5",0,1,1,0,1,0,1,0,0,1,0,35,0,0,0,0,0,1,8.05,0
"6",0,1,1,1,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.4583,0
"7",0,0,1,0,1,0,1,0,0,1,0,54,1,0,0,0,1,0,51.8625,0
"8",0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,21.075,0
"9",0,1,0,0,1,1,0,0,0,0,1,27,0,0,0,0,1,0,11.1333,1
"10",1,0,0,0,0,1,0,0,0,0,1,14,0,0,0,0,1,0,30.0708,1
"11",0,1,0,0,1,1,0,0,1,0,0,4,1,0,0,0,1,0,16.7,1
"12",0,0,0,0,1,0,1,0,1,0,0,58,1,0,0,0,0,1,26.55,1
"13",0,1,1,0,1,0,1,0,0,1,0,20,0,0,0,0,0,1,8.05,0
"14",0,1,1,0,1,0,0,0,0,1,0,39,0,0,0,0,0,0,31.275,0
"15",0,1,0,0,1,0,1,0,1,0,0,14,0,0,0,0,0,1,7.8542,0
"16",1,0,0,0,1,0,1,0,0,0,1,55,0,0,0,0,0,1,16,1
"17",0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,29.125,0
"18",1,0,1,0,1,0,1,0,0,1,0,33.0771144278607,0,0,0,0,0,1,13,1
"19",0,1,0,0,1,1,0,0,0,0,1,31,0,0,0,0,1,0,18,0
"20",0,1,0,0,0,0,1,0,0,0,1,28.8628808864266,0,0,0,0,0,1,7.225,1
"21",1,0,1,0,1,0,1,0,0,1,0,35,0,0,0,0,1,0,26,0
"22",1,0,1,0,1,0,1,0,0,1,0,34,1,0,0,0,0,1,13,1
"23",0,1,0,1,0,0,1,0,1,0,0,15,0,0,0,0,0,1,8.0292,1
"24",0,0,1,0,1,0,1,0,0,1,0,28,1,0,0,0,0,1,35.5,1
"25",0,1,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,21.075,0
"26",0,1,0,0,1,0,0,0,0,0,1,38,0,0,0,0,0,0,31.3875,1
"27",0,1,1,0,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.225,0
"28",0,0,1,0,1,0,0,0,0,1,0,19,0,0,1,0,0,0,263,0
"29",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.8792,1
"30",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.8958,0
"31",0,0,1,0,0,0,1,1,0,0,0,40,0,0,0,0,0,1,27.7208,0
"32",0,0,0,0,0,1,0,0,0,0,1,42.3995327102804,1,0,0,0,1,0,146.5208,1
"33",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.75,1
"34",1,0,1,0,1,0,1,0,0,1,0,66,0,0,0,0,0,1,10.5,0
"35",0,0,1,0,0,1,0,0,0,1,0,28,0,0,0,0,1,0,82.1708,0
"36",0,0,1,0,1,1,0,0,0,1,0,42,0,0,0,0,1,0,52,0
"37",0,1,1,0,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.2292,1
"38",0,1,1,0,1,0,1,0,0,1,0,21,0,0,0,0,0,1,8.05,0
"39",0,1,0,0,1,1,0,0,1,0,0,18,0,0,0,0,1,0,18,0
"40",0,1,0,0,0,1,0,0,1,0,0,14,0,0,0,0,1,0,11.2417,1
"41",0,1,0,0,1,1,0,0,0,0,1,40,0,0,0,0,0,1,9.475,0
"42",1,0,0,0,1,1,0,0,0,0,1,27,0,0,0,0,1,0,21,0
"43",0,1,1,0,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.8958,0
"44",1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,41.5792,1
"45",0,1,0,1,0,0,1,0,1,0,0,19,0,0,0,0,0,1,7.8792,1
"46",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.05,0
"47",0,1,1,1,0,1,0,0,0,1,0,28.8628808864266,0,0,0,0,1,0,15.5,0
"48",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.75,1
"49",0,1,1,0,0,1,0,0,0,1,0,28.8628808864266,0,0,0,0,1,0,21.6792,0
"50",0,1,0,0,1,1,0,0,0,0,1,18,0,0,0,0,1,0,17.8,0
"51",0,1,1,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,39.6875,0
"52",0,1,1,0,1,0,1,0,0,1,0,21,0,0,0,0,0,1,7.8,0
"53",0,0,0,0,0,1,0,0,0,0,1,49,1,0,0,0,1,0,76.7292,1
"54",1,0,0,0,1,1,0,0,0,0,1,29,0,0,0,0,1,0,26,1
"55",0,0,1,0,0,1,0,0,0,1,0,65,1,0,0,0,1,0,61.9792,0
"56",0,0,1,0,1,0,1,0,0,1,0,42.3995327102804,1,0,0,0,0,1,35.5,1
"57",1,0,0,0,1,0,1,0,1,0,0,21,0,0,0,0,0,1,10.5,1
